OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-333800116480001,006S002E19A001S,Well,,18070202,,,,,33.64072220000000,-116.8085556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2866,feet,4.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,,,,19880926,416,ft,416,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-333844117190801,006S004W17L001S,Well,,18070202,,,,,33.64563889000000,-117.3188610000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1247,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,California Coastal Basin aquifers,Cenozoic Erathem,Unconfined single aquifer,19910618,1720,ft,2002,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334327117511501,005S009W19H001S,Well,,18070204,,,,,33.72411110000000,-117.8542222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,78,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,059,California Coastal Basin aquifers,,,19670925,1152,ft,1186,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334400116160001,005S007E08L001S,Well,,18100201,,,,,33.74900000000000,-116.2819167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,77,feet,10,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,,1070,ft,1105,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334552118020201,005S011W04L001S,Well,,18070201,,,,,33.76522220000000,-118.0339444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,22,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,059,California Coastal Basin aquifers,,,19981012,880,ft,930,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334600117110001,005S003W04A002S,Well,,18070202,,,,,33.77172220000000,-117.1891389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1417,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,California Coastal Basin aquifers,,,20040122,360,ft,375,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334621116564601,005S001W02A002S,Well,,18070202,,,,,33.77250000000000,-116.9462222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1592,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,California Coastal Basin aquifers,,Unconfined single aquifer,19881001,1550,ft,2011,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334631117504101,004S009W32P002S,Well,,18070204,,,,,33.77531667000000,-117.8446472000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,200,feet,12,feet,Reported method of determination.,NGVD29,US,06,059,California Coastal Basin aquifers,Alluvium,Unconfined single aquifer,19920818,1300,ft,1510,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334700116100001,004S008E31A001S,Well,,18100201,,,,,33.78638889000000,-116.1794722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,478,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19940331,650,ft,650,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334712115485601,004S011E27Q001S,Well,,18100100,,,,,33.78644444000000,-115.8157778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3051,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19581206,403,ft,403,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-334825117573101,004S010W20M001S,Well,,18070201,,,,,33.80696944000000,-117.9585000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,97,feet,2.,feet,Interpolated from topographic map.,NGVD29,US,06,059,California Coastal Basin aquifers,Alluvium,Confined single aquifer,19840607,1240,ft,1308,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335053117135801,004S003W06Q004S,Well,,18070202,,,,,33.84797220000000,-117.2327500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1460,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,California Coastal Basin aquifers,Cenozoic Erathem,Unconfined single aquifer,19940115,760,ft,905,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335145117494101,003S009W33K006S,Well,,18070106,,,,,33.86238889000000,-117.8281667000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,250,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,059,California Coastal Basin aquifers,,,,420,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-335224117351101,003S007W35C001S,Well,,18070203,,,,,33.87322220000000,-117.5868056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,732,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,California Coastal Basin aquifers,Cenozoic Erathem,Unconfined single aquifer,,515,ft,533,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335231116345401,003S004E29R001S,Well,,18100201,,,,,33.87529428000000,-116.5825143000000,24000,1,seconds,Interpolated from MAP.,NAD83,777,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19710203,494,ft,551,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335302118072201,003S013W27G001S,Well,,18070105,,,,,33.88165830000000,-118.2266889000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,71,feet,2.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,037,California Coastal Basin aquifers,,,1958,501,ft,605,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335304116353001,003S004E29F001S,Well,,18100201,,,,,33.88446060000000,-116.5925143000000,24000,1,seconds,Interpolated from MAP.,NAD83,865.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19711216,575,ft,575,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335314118223801,003S014W29D005S,Well,,18070106,,,,,33.88708330000000,-118.3771389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,89,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,037,California Coastal Basin aquifers,,,19951230,445,ft,660,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335318116363301,003S004E30C001S,Well,,18100201,,,,,33.88834935000000,-116.6100145000000,24000,1,seconds,Interpolated from MAP.,NAD83,944.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19550212,726,ft,750,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335339116345301,003S004E20J001S,Well,,18100201,,,,,33.89418245000000,-116.5822362000000,24000,5,seconds,Interpolated from MAP.,NAD83,840.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19791102,565,ft,1067,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335339116345302,003S004E20J002S,Well,,18100201,,,,,33.89418245000000,-116.5822362000000,24000,5,seconds,Interpolated from MAP.,NAD83,840.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19791102,692,ft,1067,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335339116345303,003S004E20J003S,Well,,18100201,,,,,33.89418245000000,-116.5822362000000,24000,5,seconds,Interpolated from MAP.,NAD83,840.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19791102,865,ft,1067,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335348116352701,003S004E20F001S,Well,,18100201,,,,,33.89668236000000,-116.5916807000000,24000,1,seconds,Interpolated from MAP.,NAD83,890.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19790912,617,ft,1205,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335348116352702,003S004E20F002S,Well,,18100201,,,,,33.89668236000000,-116.5916807000000,24000,1,seconds,Interpolated from MAP.,NAD83,890,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19790912,864,ft,1205,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335348116352703,003S004E20F003S,Well,,18100201,,,,,33.89668236000000,-116.5916807000000,24000,1,seconds,Interpolated from MAP.,NAD83,890.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,19790912,1129,ft,1205,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335423116455301,003S002E15P001S,Well,,18100201,,,,,33.90637778000000,-116.7648500000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,1597.3,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20071127,383,ft,391,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335504116541501,003S001E17C001S,Well,,18100201,,,,,33.91775278000000,-116.9050389000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,2390.13,feet,1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19900922,1420,ft,1440,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335504116554101,003S001E18D001S,Well,,18100201,,,,,33.91768889000000,-116.9289250000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,2498.50,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Other aquifers,,,19780623,1020,ft,1020,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335509116575201,003S001W10R004S,Well,,18070202,,,,,33.91922220000000,-116.9644167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2570,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,065,California Coastal Basin aquifers,,,20080722,300,ft,310,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335513116490601,003S002E07P001S,Well,,18100201,,,,,33.92146389000000,-116.8184500000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,1954.53,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20060929,1000,ft,1018,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335513116490602,003S002E07P002S,Well,,18100201,,,,,33.92146389000000,-116.8184500000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,1954.53,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20060929,810,ft,1018,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335513116490603,003S002E07P003S,Well,,18100201,,,,,33.92146389000000,-116.8184500000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,1954.53,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20060929,660,ft,1018,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335513116490604,003S002E07P004S,Well,,18100201,,,,,33.92146389000000,-116.8184500000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,1954.53,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20060929,570,ft,1018,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335515116522801,003S001E10N001S,Well,,18100201,,,,,33.92069444000000,-116.8755833000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2297.83,feet,1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19900910,1130,ft,1180,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335522116415201,003S003E08M001S,Well,,18100201,,,,,33.92222220000000,-116.6993889000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1349.67,feet,.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,,553,ft,575,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335522116430701,003S003E07M001S,Well,,18100201,,,,,33.92307050000000,-116.7197378000000,24000,1,seconds,Interpolated from MAP.,NAD83,1480.07,feet,.50,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19581015,462,ft,465,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335523116484601,003S002E07K001S,Well,,18100201,,,,,33.92311110000000,-116.8135000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1923,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19951005,890,ft,1230,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335525116410201,003S003E09M001S,Well,,18100201,,,,,33.92360830000000,-116.6840083000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1338.52,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190208,1080,ft,1103.2,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335525116410202,003S003E09M002S,Well,,18100201,,,,,33.92360830000000,-116.6840083000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1338.52,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190208,950,ft,1103.2,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335525116410203,003S003E09M003S,Well,,18100201,,,,,33.92360830000000,-116.6840083000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1338.52,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190208,760,ft,1103.2,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335525116410204,003S003E09M004S,Well,,18100201,,,,,33.92360830000000,-116.6840083000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1338.52,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190208,620,ft,1103.2,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335530116413701,003S003E08L001S,Well,,18100201,,,,,33.92516389000000,-116.6936389000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1358.10,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190311,890,ft,975,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335530116413702,003S003E08L002S,Well,,18100201,,,,,33.92516389000000,-116.6936389000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1358.10,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190311,680,ft,975,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335530116413703,003S003E08L003S,Well,,18100201,,,,,33.92516389000000,-116.6936389000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1358.10,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190311,510,ft,975,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335530116413704,003S003E08L004S,Well,,18100201,,,,,33.92516389000000,-116.6936389000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1358.10,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190311,410,ft,975,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335530116555901,003S001W12K001S,Well,,18100201,,,,,33.92500278000000,-116.9332583000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,2536.63,feet,1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-335531116510401,003S001E11F001S,Well: Multiple wells,,18100201,,,,,33.92530000000000,-116.8513444000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,2193.96,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20090604,1060,ft,1060,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335531116510402,003S001E11F002S,Well: Multiple wells,,18100201,,,,,33.92530000000000,-116.8513444000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,2193.96,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20090604,860,ft,1060,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335531116510403,003S001E11F003S,Well: Multiple wells,,18100201,,,,,33.92530000000000,-116.8513444000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,2193.96,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20090604,680,ft,1060,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335531116510404,003S001E11F004S,Well: Multiple wells,,18100201,,,,,33.92530000000000,-116.8513444000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,2193.96,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20090604,600,ft,1060,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335532116471701,003S002E09E001S,Well,,18100201,,,,,33.92569444000000,-116.7887500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1990,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,1996,1200,ft,1230,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335534116441501,003S002E11H001S,Well,,18100201,,,,,33.92615000000000,-116.7377194000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1572.72,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190703,880,ft,900,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335534116441502,003S002E11H002S,Well,,18100201,,,,,33.92615000000000,-116.7377194000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1572.72,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190703,660,ft,900,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335534116441503,003S002E11H003S,Well,,18100201,,,,,33.92615000000000,-116.7377194000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,1572.72,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,065,,,,20190703,540,ft,900,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335535116483801,003S002E07G002S,Well,,18100201,,,,,33.92640419000000,-116.8114075000000,24000,1,seconds,Interpolated from MAP.,NAD83,2009.,feet,5,feet,Level or other surveyed method.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-335540116553901,003S001E07E002S,Well,,18100201,,,,,33.92783610000000,-116.9289833000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,2524.18,feet,1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19840504,1000,ft,1002,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335544117165201,003S004W10A001S,Well,,18070203,,,,,33.92927778000000,-117.2819444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1545,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,065,Other aquifers,,,195602,225,ft,225,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335552116500901,003S001E12D001S,Well,,18100201,,,,,33.93112640000000,-116.8366863000000,24000,1,seconds,Interpolated from MAP.,NAD83,2118,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,065,Basin and Range basin-fill aquifers,,,,,,805,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335556116431001,003S003E07D001S,Well,,18100201,,,,,33.93222220000000,-116.7194444000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1641,feet,10,feet,Interpolated from topographic map.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,,750,ft,760,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335556116560701,003S001W12B002S,Well,,18100201,,,,,33.93217500000000,-116.9356194000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,2571.30,feet,1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,19900914,1030,ft,1065,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335618116513401,003S001E03J001S,Well,,18100201,,,,,33.93835830000000,-116.8594722000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,2399.05,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20041007,1000,ft,1002,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335643118105801,003S012W06D004S,Well,,18070105,,,,,33.94511110000000,-118.1843610000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,108,feet,2.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,037,California Coastal Basin aquifers,,,19470606,746,ft,794,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335650116572101,002S001W35P001S,Well,,18070202,,,,,33.94736110000000,-116.9559722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2700,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,065,California Coastal Basin aquifers,,,20060301,1470,ft,1490,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335709117004701,002S001W32M001S,Well,,18070203,,,,,33.95261389000000,-117.0140528000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,2470.75,feet,1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,California Coastal Basin aquifers,,,,1350,ft,1505,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335712118054901,002S012W36M006S,Well,,18070106,,,,,33.95268889000000,-118.0976917000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,138,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,037,California Coastal Basin aquifers,,,1968,627,ft,630,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335714116565001,002S001W35J001S,Well,,18100201,,,,,33.95413330000000,-116.9471528000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,2781.00,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20011205,900,ft,904,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335714116565003,002S001W35J003S,Well,,18100201,,,,,33.95413330000000,-116.9471528000000,24000,Unknown,Unknown,Survey-grade GPSF,NAD83,2781.00,feet,0.5,feet,Survey-grade GPSF,NAVD88,US,06,065,Basin and Range basin-fill aquifers,,,20011205,630,ft,904,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335741116595201,002S001W33D002S,Well,,18070203,,,,,33.96116667000000,-116.9986389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2605,feet,4.,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,California Coastal Basin aquifers,,,20040506,1430,ft,1540,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335743116582401,002S001W27P001S,Well,,18070203,,,,,33.96212500000000,-116.9734444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2737,feet,20,feet,Interpolated from topographic map.,NAVD88,US,06,065,California Coastal Basin aquifers,,,20011126,1500,ft,1522,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335800117390001,002S007W19Q001S,Well,,18070203,,,,,33.97822220000000,-117.6501944000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,623,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,071,California Coastal Basin aquifers,,,19970602,520,ft,530,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335800118230001,002S014W19G001S,Well,,18070104,,,,,33.98202778000000,-118.3868610000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,74,feet,10,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,037,California Coastal Basin aquifers,,,20010507,620,ft,700,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-335813117285501,002S006W26F001S,Well,,18070203,,,,,33.97052778000000,-117.4822500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,713,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,,,,,73.85,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-335820116595901,002S001W29H001S,Well,,18070203,,,,,33.97219167000000,-117.0005610000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,2696.44,feet,1,feet,Differentially corrected Global Positioning System.,NAVD88,US,06,065,California Coastal Basin aquifers,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-335825117282501,002S006W26A001S,Well,,18070203,,,,,33.97344444000000,-117.4730556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,725,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,,,,,58.65,ft,,,NWIS
